Rk,Name,TeamName,PA,AB,H,2B,3B,HR,SO,BB,HBP,SH,SF,GDP
36,池田来翔,M,55,54,15,3,1,0,9,0,0,1,0,1
37,宮﨑敏郎,DB,149,133,37,5,0,4,18,12,3,0,1,7
38,栗原陵矢,H,234,212,59,12,2,17,50,18,1,1,2,4
39,鵜飼航丞,D,97,94,26,3,0,4,28,2,1,0,0,2
40,中野拓夢,T,219,196,54,8,0,0,39,12,2,7,2,3
41,中野拓夢,T,219,196,54,8,0,0,39,12,2,7,2,3
42,牧原大成,H,193,174,48,10,0,0,37,11,1,5,2,0
43,キャベッジ,G,212,204,56,9,0,11,72,5,3,0,0,3
44,周東佑京,H,226,194,53,8,2,1,34,21,2,7,2,1
45,森友哉,Bs,164,150,41,9,0,5,33,13,1,0,0,0
46,村松開人,D,216,172,47,7,5,3,31,36,0,4,4,7
47,赤羽由紘,S,62,59,16,3,0,2,18,3,0,0,0,1
48,石伊雄太,D,142,133,36,8,1,4,29,4,3,1,1,2
49,小島大河,L,120,118,32,4,0,2,13,2,0,0,0,1
50,西川龍馬,Bs,230,221,60,15,0,1,29,8,0,1,0,6
51,福永裕基,D,137,122,33,3,0,1,25,14,1,0,0,0
52,坂倉将吾,C,196,171,46,13,0,6,41,23,1,0,1,3
53,サンタナ,S,206,175,47,11,0,11,53,29,1,0,1,4
54,大山悠輔,T,215,183,49,8,1,6,39,27,2,0,3,9
55,古賀優大,S,132,123,33,4,1,0,11,3,3,2,1,3
56,高橋周平,D,68,60,16,1,0,0,21,7,0,1,0,2
57,長谷川信哉,L,155,139,37,9,0,7,27,9,2,4,1,2
58,長岡秀樹,S,177,162,43,8,1,0,27,14,0,1,0,3
59,佐野恵太,DB,226,200,53,11,0,4,29,25,1,0,0,5
60,蝦名達夫,DB,178,160,42,9,1,2,42,12,5,1,0,2
61,カナリオ,L,198,183,48,9,1,6,53,15,0,0,0,2
62,渡部遼人,Bs,156,130,34,2,1,3,28,18,2,6,0,1
63,黒川史陽,E,219,188,49,5,1,1,30,27,0,3,1,2
64,京田陽太,DB,94,88,23,3,0,1,20,3,2,1,0,1
65,マッカスカー,E,59,50,13,3,0,2,23,8,0,0,1,0
66,木浪聖也,T,111,101,26,2,0,1,28,8,1,0,1,2
67,野村佑希,F,154,145,37,7,0,7,36,7,1,0,1,5
68,岩田幸宏,S,176,165,42,5,0,1,38,8,1,1,1,2
69,佐々木俊輔,G,147,137,35,11,0,4,42,7,1,2,0,0
70,増田陸,G,113,110,28,5,0,2,29,1,1,0,1,2
71,浅村栄斗,E,191,166,42,5,0,5,36,21,2,0,2,6
72,福島圭音,T,95,83,21,7,0,0,11,8,3,1,0,3
73,宗佑磨,Bs,208,178,45,7,1,5,35,22,7,1,0,3
74,浦田俊輔,G,159,139,35,4,1,0,21,10,3,6,1,2
75,カストロ,F,129,115,29,2,0,7,34,10,2,0,2,2
76,三森大貴,DB,103,96,24,1,0,0,26,6,0,0,1,1
77,松川虎生,M,56,52,13,2,0,0,14,1,0,3,0,0
78,柳田悠岐,H,185,168,42,5,0,7,42,12,3,0,2,1
79,近本光司,T,110,96,24,4,0,0,19,12,1,0,1,1
80,松尾汐恩,DB,94,88,22,4,0,0,9,5,0,1,0,4
81,渡部聖弥,L,230,217,54,7,1,4,34,10,3,0,0,6
82,万波中正,F,218,187,46,6,0,12,58,26,3,0,1,8
83,奈良間大己,F,113,102,25,2,1,2,28,8,2,1,0,2
84,松本剛,G,119,106,26,5,0,0,18,6,1,6,0,2
85,ダルベック,G,214,188,46,9,1,9,68,24,1,0,1,2
86,紅林弘太郎,Bs,187,168,41,4,0,6,22,16,1,1,1,6
87,筒香嘉智,DB,103,86,21,3,0,3,24,15,1,0,1,1
88,秋山翔吾,C,77,74,18,2,1,2,15,2,1,0,0,0
89,武岡龍世,S,162,148,36,7,1,3,42,14,0,0,0,2
90,菊池涼介,C,178,146,35,5,0,2,36,23,0,8,1,1
91,ソト,M,147,134,32,8,0,4,32,9,3,0,1,2
92,内山壮真,S,120,101,24,5,0,3,25,17,2,0,0,5
93,太田光,E,146,130,31,2,0,1,31,13,0,2,1,3
94,田中幹也,D,169,149,35,5,1,0,16,10,2,7,1,2
95,持丸泰輝,C,117,98,23,5,0,3,22,14,2,2,1,2
96,髙寺望夢,T,137,115,27,3,0,2,27,19,1,1,1,0
97,モンテロ,C,138,128,30,6,0,5,35,7,1,0,2,2
98,林琢真,DB,85,77,18,7,0,1,24,6,0,1,1,0
99,野口智哉,Bs,84,77,18,4,0,2,24,3,1,2,1,0
100,来田涼斗,Bs,63,60,14,2,1,0,11,1,0,0,2,0
101,小幡竜平,T,96,86,20,1,1,0,34,6,1,3,0,1
102,花田旭,D,55,52,12,3,0,1,18,2,0,0,1,1
103,小郷裕哉,E,110,104,24,2,1,0,26,5,0,1,0,4
104,清宮幸太郎,F,221,191,44,4,1,8,43,24,5,0,1,2
105,オスナ,S,170,157,36,6,0,2,28,12,0,0,1,6
106,水谷瞬,F,52,48,11,3,0,1,15,1,1,0,2,0
107,小園海斗,C,203,188,43,7,2,0,25,12,1,1,1,4
108,山口航輝,M,87,83,19,3,1,6,21,3,1,0,0,0
109,今宮健太,H,94,88,20,2,0,1,18,5,1,0,0,0
110,細川成也,D,232,190,43,7,0,7,64,35,4,0,3,2
111,立石正広,T,55,54,12,1,0,1,11,1,0,0,0,2
112,坂本誠志郎,T,101,90,20,3,1,0,27,6,2,1,2,4
113,郡司裕也,F,207,181,40,3,0,4,32,23,2,0,1,4
114,若月健矢,Bs,126,109,24,6,0,0,25,8,1,8,0,2
115,中島大輔,E,130,118,26,10,1,1,17,6,1,5,0,1
116,石井一成,L,82,78,17,2,1,2,21,4,0,0,0,0
117,サノー,D,50,46,10,1,0,3,16,3,1,0,0,1
118,髙部瑛斗,M,115,107,23,2,0,0,21,8,0,0,0,0
119,西川愛也,L,144,135,29,5,1,2,26,3,1,3,2,4
120,大盛穂,C,148,140,30,5,0,3,45,6,0,2,0,1
121,ポランコ,M,129,115,24,8,0,4,32,12,0,0,2,1
122,柳町達,H,118,101,21,5,1,0,22,14,0,1,2,2
123,野間峻祥,C,65,58,12,1,0,0,9,6,0,0,1,0
124,鈴木叶,S,80,78,16,2,2,1,17,2,0,0,0,1
125,ボスラー,D,162,148,30,5,0,3,43,10,3,0,1,2
126,吉川尚輝,G,104,99,20,0,0,1,14,5,0,0,0,3
127,平川蓮,C,90,84,17,3,0,0,29,4,1,1,0,1
128,源田壮亮,L,152,129,26,6,0,1,22,15,0,6,2,2
129,泉口友汰,G,167,150,30,6,0,3,24,13,3,0,1,3
130,林安可,L,126,115,23,9,0,2,29,7,4,0,0,3
131,ヒュンメル,DB,128,111,22,4,0,3,42,13,3,0,1,3
132,佐々木泰,C,134,127,25,2,1,2,17,5,1,1,0,0
133,カリステ,D,67,61,12,2,0,1,20,6,0,0,0,2
134,小深田大翔,E,112,98,19,0,2,0,28,8,1,5,0,1
135,大島洋平,D,66,62,12,1,1,0,13,4,0,0,0,1
136,ファビアン,C,87,83,16,2,0,3,15,3,1,0,0,1
137,岸潤一郎,L,84,73,14,4,0,1,20,4,2,3,2,2
138,廣岡大志,Bs,51,47,9,0,0,0,16,3,0,0,1,4
139,海野隆司,H,109,94,18,4,1,1,30,5,1,8,1,4
140,伊藤裕季也,E,53,48,9,3,0,3,17,4,0,0,1,3
141,西川遥輝,F,55,43,8,1,1,1,13,10,2,0,0,0
142,中村奨成,C,81,72,13,1,0,0,10,3,0,6,0,0
143,伏見寅威,T,77,67,12,1,0,0,18,3,2,4,1,1
144,西野真弘,Bs,60,56,10,1,0,0,9,2,1,1,0,1
145,山川穂高,H,168,143,25,2,0,9,44,21,3,0,1,2
146,勝田成,C,79,70,12,2,0,0,14,4,2,3,0,0
147,シーモア,Bs,135,130,22,4,0,3,41,3,1,0,1,1
148,寺地隆成,M,196,174,29,2,0,3,35,16,2,1,3,2
149,野村勇,H,62,57,9,1,0,0,25,5,0,0,0,1
150,山本大斗,M,66,57,9,2,0,1,14,6,2,0,1,0
151,石上泰輝,DB,50,46,7,4,0,0,12,3,0,1,0,0
152,坂本勇人,G,73,66,10,1,0,2,22,6,0,0,1,2
153,伊藤琉偉,S,98,87,13,1,1,2,33,9,1,1,0,3
154,岡大海,M,50,45,6,1,0,0,14,4,0,1,0,1
155,中山礼都,G,69,63,8,2,0,0,12,6,0,0,0,1
156,ボイト,E,74,67,8,3,0,0,19,4,2,0,1,3
